"accession","length","isolate","isolation_source","host","organism","genotype","country_original","country","country_code","collection_date_original","collection_date"
"MH647247","1320","SGEHIDS1614Y08","NA","Homo sapiens","Chikungunya virus","ECSA","Singapore","Singapore","SGP","Oct-2008","2008-10-XX"
"MH647246","1320","SGEHIDS1613Y08","NA","Homo sapiens","Chikungunya virus","ECSA","Singapore","Singapore","SGP","Oct-2008","2008-10-XX"
"MH647245","1320","SGEHIDS1612Y08","NA","Homo sapiens","Chikungunya virus","ECSA","Singapore","Singapore","SGP","Oct-2008","2008-10-XX"
"MH647244","1320","SGEHIDS1588Y08","NA","Homo sapiens","Chikungunya virus","ECSA","Singapore","Singapore","SGP","Oct-2008","2008-10-XX"
"MH647243","1320","SGEHIDS1582Y08","NA","Homo sapiens","Chikungunya virus","ECSA","Singapore","Singapore","SGP","Oct-2008","2008-10-XX"
"MH647242","1320","SGEHIDS1580Y08","NA","Homo sapiens","Chikungunya virus","ECSA","Singapore","Singapore","SGP","Oct-2008","2008-10-XX"
"MH647241","1320","SGEHIDS1576Y08","NA","Homo sapiens","Chikungunya virus","ECSA","Singapore","Singapore","SGP","Oct-2008","2008-10-XX"
"MH647240","1320","SGEHIDS1547Y08","NA","Homo sapiens","Chikungunya virus","ECSA","Singapore","Singapore","SGP","Oct-2008","2008-10-XX"
"MH647239","1320","SGEHIDS1546Y08","NA","Homo sapiens","Chikungunya virus","ECSA","Singapore","Singapore","SGP","Oct-2008","2008-10-XX"
"MH647238","1320","SGEHIDS1480Y08","NA","Homo sapiens","Chikungunya virus","ECSA","Singapore","Singapore","SGP","Sep-2008","2008-09-XX"
"MH647237","1320","SGEHIDS1479Y08","NA","Homo sapiens","Chikungunya virus","ECSA","Singapore","Singapore","SGP","Sep-2008","2008-09-XX"
"MH647236","1320","SGEHIDS1478Y08","NA","Homo sapiens","Chikungunya virus","ECSA","Singapore","Singapore","SGP","Sep-2008","2008-09-XX"
"MH647235","1320","SGEHIDS1458Y08","NA","Homo sapiens","Chikungunya virus","ECSA","Singapore","Singapore","SGP","Sep-2008","2008-09-XX"
"MH647234","1320","SGEHIDS1445Y08","NA","Homo sapiens","Chikungunya virus","ECSA","Singapore","Singapore","SGP","Sep-2008","2008-09-XX"
"MH647233","1320","SGEHIDS1407Y08","NA","Homo sapiens","Chikungunya virus","ECSA","Singapore","Singapore","SGP","Sep-2008","2008-09-XX"
"MH647232","1320","SGEHIDS1406Y08","NA","Homo sapiens","Chikungunya virus","ECSA","Singapore","Singapore","SGP","Sep-2008","2008-09-XX"
"MH647231","1320","SGEHIDS1405Y08","NA","Homo sapiens","Chikungunya virus","ECSA","Singapore","Singapore","SGP","Sep-2008","2008-09-XX"
"MH647230","1320","SGEHIDS1375Y08","NA","Homo sapiens","Chikungunya virus","ECSA","Singapore","Singapore","SGP","Sep-2008","2008-09-XX"
"MH647229","1320","SGEHIDS1373Y08","NA","Homo sapiens","Chikungunya virus","ECSA","Singapore","Singapore","SGP","Sep-2008","2008-09-XX"
"MH647228","1320","SGEHIDS1357Y08","NA","Homo sapiens","Chikungunya virus","ECSA","Singapore","Singapore","SGP","Sep-2008","2008-09-XX"
"MH647227","1320","SGEHIDS1356Y08","NA","Homo sapiens","Chikungunya virus","ECSA","Singapore","Singapore","SGP","Sep-2008","2008-09-XX"
"MH647226","1320","SGEHIDS1355Y08","NA","Homo sapiens","Chikungunya virus","ECSA","Singapore","Singapore","SGP","Sep-2008","2008-09-XX"
"MH647225","1320","SGEHIDS1354Y08","NA","Homo sapiens","Chikungunya virus","ECSA","Singapore","Singapore","SGP","Sep-2008","2008-09-XX"
"MH647224","1320","SGEHIDS1298Y08","NA","Homo sapiens","Chikungunya virus","ECSA","Singapore","Singapore","SGP","Sep-2008","2008-09-XX"
"MH647223","1320","SGEHIDS1297Y08","NA","Homo sapiens","Chikungunya virus","ECSA","Singapore","Singapore","SGP","Sep-2008","2008-09-XX"
"MH647222","1320","SGEHIDS1296Y08","NA","Homo sapiens","Chikungunya virus","ECSA","Singapore","Singapore","SGP","Sep-2008","2008-09-XX"
"MH647221","1320","SGEHIDS1221Y08","NA","Homo sapiens","Chikungunya virus","ECSA","Singapore","Singapore","SGP","Sep-2008","2008-09-XX"
"MH647220","1320","SGEHIDS1220Y08","NA","Homo sapiens","Chikungunya virus","ECSA","Singapore","Singapore","SGP","Sep-2008","2008-09-XX"
"MH647219","1320","SGEHIDS1059Y08","NA","Homo sapiens","Chikungunya virus","ECSA","Singapore","Singapore","SGP","Aug-2008","2008-08-XX"
"MT349960","11494","H542","serum","Homo sapiens","Chikungunya virus","East-Central-South-Africa ECSA","Brazil: Sinop, MT","Brazil","BRA","07-Feb-2018","2018-02-07"
"MK061377","485","LA107","serum","Homo sapiens","Chikungunya virus","NA","Thailand","Thailand","THA","27-Jun-2018","2018-06-27"
"MK061376","485","LA101","serum","Homo sapiens","Chikungunya virus","NA","Thailand","Thailand","THA","27-Jun-2018","2018-06-27"
"MK061375","485","LA99","serum","Homo sapiens","Chikungunya virus","NA","Thailand","Thailand","THA","27-Jun-2018","2018-06-27"
"MK061374","485","LA98","serum","Homo sapiens","Chikungunya virus","NA","Thailand","Thailand","THA","27-Jun-2018","2018-06-27"
"MK061373","485","LA97","serum","Homo sapiens","Chikungunya virus","NA","Thailand","Thailand","THA","27-Jun-2018","2018-06-27"
"MK061372","485","LA94","serum","Homo sapiens","Chikungunya virus","NA","Thailand","Thailand","THA","27-Jun-2018","2018-06-27"
"MK061371","485","LA93","serum","Homo sapiens","Chikungunya virus","NA","Thailand","Thailand","THA","27-Jun-2018","2018-06-27"
"MK061370","485","TC82","serum","Homo sapiens","Chikungunya virus","NA","Thailand","Thailand","THA","27-Jun-2018","2018-06-27"
"MK061369","485","TC46","serum","Homo sapiens","Chikungunya virus","NA","Thailand","Thailand","THA","27-Jun-2018","2018-06-27"
"MK061368","485","TC42","serum","Homo sapiens","Chikungunya virus","NA","Thailand","Thailand","THA","27-Jun-2018","2018-06-27"
"MK061367","485","TC37","serum","Homo sapiens","Chikungunya virus","NA","Thailand","Thailand","THA","27-Jun-2018","2018-06-27"
"MK061366","485","TC36","serum","Homo sapiens","Chikungunya virus","NA","Thailand","Thailand","THA","27-Jun-2018","2018-06-27"
"MK061365","485","TC25","serum","Homo sapiens","Chikungunya virus","NA","Thailand","Thailand","THA","27-Jun-2018","2018-06-27"
"MK061364","485","TC17","serum","Homo sapiens","Chikungunya virus","NA","Thailand","Thailand","THA","27-Jun-2018","2018-06-27"
"MK061363","485","TC4","serum","Homo sapiens","Chikungunya virus","NA","Thailand","Thailand","THA","27-Jun-2018","2018-06-27"
"MN462662","11599","00278-P-12932","NA","Homo sapiens","Chikungunya virus","NA","Ecuador","Ecuador","ECU","2015-08-27","2015-08-27"
"MN462661","11599","00246-P-12921","NA","Homo sapiens","Chikungunya virus","NA","Ecuador","Ecuador","ECU","2015-08-14","2015-08-14"
"MN462660","11599","00252-P-12923","NA","Homo sapiens","Chikungunya virus","NA","Ecuador","Ecuador","ECU","2015-08-14","2015-08-14"
"MN462659","11599","00312-P-12945","NA","Homo sapiens","Chikungunya virus","NA","Ecuador","Ecuador","ECU","2015-12-08","2015-12-08"
"MN462658","11599","00236-P-12920","NA","Homo sapiens","Chikungunya virus","NA","Ecuador","Ecuador","ECU","2015-04-08","2015-04-08"
"MN462657","11599","00290-P-12938","NA","Homo sapiens","Chikungunya virus","NA","Ecuador","Ecuador","ECU","2015-07-29","2015-07-29"
"MN462656","11599","00247-P-12922","NA","Homo sapiens","Chikungunya virus","NA","Ecuador","Ecuador","ECU","2015-07-23","2015-07-23"
"MN462655","11599","00304-P-12941","NA","Homo sapiens","Chikungunya virus","NA","Ecuador","Ecuador","ECU","2015-07-14","2015-07-14"
"MN462654","11599","00294-P-12940","NA","Homo sapiens","Chikungunya virus","NA","Ecuador","Ecuador","ECU","2015-02-07","2015-02-07"
"MN462653","11599","00284-P-12934","NA","Homo sapiens","Chikungunya virus","NA","Ecuador","Ecuador","ECU","2015-06-30","2015-06-30"
"MN462652","11599","00283-P-12933","NA","Homo sapiens","Chikungunya virus","NA","Ecuador","Ecuador","ECU","2015-06-30","2015-06-30"
"MN462651","11599","00272-P-12930","NA","Homo sapiens","Chikungunya virus","NA","Ecuador","Ecuador","ECU","2015-06-24","2015-06-24"
"MN462650","11599","00313-P-12946","NA","Homo sapiens","Chikungunya virus","NA","Ecuador","Ecuador","ECU","2015-06-16","2015-06-16"
"MN462649","11599","00285-P-12935","NA","Homo sapiens","Chikungunya virus","NA","Ecuador","Ecuador","ECU","2015-02-06","2015-02-06"
"MN462648","11599","00267-P-12927","NA","Homo sapiens","Chikungunya virus","NA","Ecuador","Ecuador","ECU","2015-05-28","2015-05-28"
"MN462647","11599","00264-P-12925","NA","Homo sapiens","Chikungunya virus","NA","Ecuador","Ecuador","ECU","2015-05-28","2015-05-28"
"MN462646","11599","00268-P-12928","NA","Homo sapiens","Chikungunya virus","NA","Ecuador","Ecuador","ECU","2015-05-27","2015-05-27"
"MN462645","11599","00308-P-12943","NA","Homo sapiens","Chikungunya virus","NA","Ecuador","Ecuador","ECU","2015-05-26","2015-05-26"
"MN462644","11599","00287-P-12937","NA","Homo sapiens","Chikungunya virus","NA","Ecuador","Ecuador","ECU","2015-05-15","2015-05-15"
"MN462643","11599","00316-P-12947","NA","Homo sapiens","Chikungunya virus","NA","Ecuador","Ecuador","ECU","2015-11-05","2015-11-05"
"MN462642","11599","00311-P-12944","NA","Homo sapiens","Chikungunya virus","NA","Ecuador","Ecuador","ECU","2015-11-05","2015-11-05"
"MN462641","11599","00218-P-16392","NA","Homo sapiens","Chikungunya virus","NA","Ecuador","Ecuador","ECU","2015-05-05","2015-05-05"
"MN462640","11599","00212-S-12918","NA","Homo sapiens","Chikungunya virus","NA","Ecuador","Ecuador","ECU","2015-04-05","2015-04-05"
"MN462639","11599","00261-P-12924","NA","Homo sapiens","Chikungunya virus","NA","Ecuador","Ecuador","ECU","2015-08-04","2015-08-04"
"MN462638","11599","00235-P-12919","NA","Homo sapiens","Chikungunya virus","NA","Ecuador","Ecuador","ECU","2015-03-24","2015-03-24"
"MT075546","2875","CHIKV/Homo_sapiens/Brazil/2016/12","serum sample","Homo sapiens","Chikungunya virus","ECSA","Brazil: Sao Luis, Maranhao","Brazil","BRA","04-Nov-2016","2016-11-04"
"MT636922","11531","DRC_2019_MAT011_AALBF","NA","Aedes albopictus","Chikungunya virus","ECSA","Democratic Republic of the Congo","Democratic Republic of the Congo","COD","2019-03-22","2019-03-22"
"MT636921","11531","DRC_2019_MAT009_AALBF","NA","Aedes albopictus","Chikungunya virus","ECSA","Democratic Republic of the Congo","Democratic Republic of the Congo","COD","2019-03-21","2019-03-21"
"MT636920","11531","DRC_2019_MAT005_AALBM","NA","Aedes albopictus","Chikungunya virus","ECSA","Democratic Republic of the Congo","Democratic Republic of the Congo","COD","2019-03-21","2019-03-21"
"MT636919","11531","DRC_2019_MAT001_AALB","NA","Aedes albopictus","Chikungunya virus","ECSA","Democratic Republic of the Congo","Democratic Republic of the Congo","COD","2019-03-20","2019-03-20"
"MT636918","11531","DRC_2019_MNF029_AAEG","NA","Aedes aegypti","Chikungunya virus","ECSA","Democratic Republic of the Congo","Democratic Republic of the Congo","COD","2019-02","2019-02"
"MT636917","11531","DRC_2019_MAT010_AALBF","NA","Aedes albopictus","Chikungunya virus","ECSA","Democratic Republic of the Congo","Democratic Republic of the Congo","COD","2019-03-21","2019-03-21"
"MT636916","11531","DRC_2019_KAS004_AALBF","NA","Aedes albopictus","Chikungunya virus","ECSA","Democratic Republic of the Congo","Democratic Republic of the Congo","COD","2019-03-26","2019-03-26"
"MT636915","10428","DRC_2019_KAS003_AALBF","NA","Aedes albopictus","Chikungunya virus","ECSA","Democratic Republic of the Congo","Democratic Republic of the Congo","COD","2019-03-26","2019-03-26"
"MT636914","11531","DRC_2019_KAS002_AALBM","NA","Aedes albopictus","Chikungunya virus","ECSA","Democratic Republic of the Congo","Democratic Republic of the Congo","COD","2019-03-26","2019-03-26"
"MT636913","11531","DRC_2019_MAS325_HU","NA","Homo sapiens","Chikungunya virus","ECSA","Democratic Republic of the Congo","Democratic Republic of the Congo","COD","2019-02-06","2019-02-06"
"MT636912","11531","DRC_2019_MAS236_HU","NA","Homo sapiens","Chikungunya virus","ECSA","Democratic Republic of the Congo","Democratic Republic of the Congo","COD","2019-02-01","2019-02-01"
"MT636911","11531","DRC_2019_MNFII188_HU","NA","Homo sapiens","Chikungunya virus","ECSA","Democratic Republic of the Congo","Democratic Republic of the Congo","COD","2019-01-21","2019-01-21"
"MT636910","11531","DRC_2019_MNFII180_HU","NA","Homo sapiens","Chikungunya virus","ECSA","Democratic Republic of the Congo","Democratic Republic of the Congo","COD","2019-01-21","2019-01-21"
"MT636909","11531","DRC_2019_MNFI114_HU","NA","Homo sapiens","Chikungunya virus","ECSA","Democratic Republic of the Congo","Democratic Republic of the Congo","COD","2019-01-21","2019-01-21"
"MT636908","11531","DRC_2019_MNFI040_HU","NA","Homo sapiens","Chikungunya virus","ECSA","Democratic Republic of the Congo","Democratic Republic of the Congo","COD","2019-01-07","2019-01-07"
"MT636907","11531","DRC_2019_MNFI024_HU","NA","Homo sapiens","Chikungunya virus","ECSA","Democratic Republic of the Congo","Democratic Republic of the Congo","COD","2019-01-07","2019-01-07"
"MG591453","310","BrSa17883","serum","Homo sapiens","Chikungunya virus","NA","Brazil","Brazil","BRA","2017","2017-XX-XX"
"MN871975","3747","1905aTw","serum sample","Homo sapiens","Chikungunya virus","ECSA","Malaysia","Malaysia","MYS","2019","2019-XX-XX"
"MN871974","3747","1908bTw","serum sample","Homo sapiens","Chikungunya virus","ECSA","Thailand","Thailand","THA","2019","2019-XX-XX"
"MN871973","3747","1908aTw","serum sample","Homo sapiens","Chikungunya virus","ECSA","Thailand","Thailand","THA","2019","2019-XX-XX"
"MN871972","3747","1907bTw","serum sample","Homo sapiens","Chikungunya virus","ECSA","Thailand","Thailand","THA","2019","2019-XX-XX"
"MN871971","3747","1907aTw","serum sample","Homo sapiens","Chikungunya virus","ECSA","Thailand","Thailand","THA","2019","2019-XX-XX"
"MN871970","3747","1908mTw","serum sample","Homo sapiens","Chikungunya virus","ECSA","Myanmar","Myanmar","MMR","2019","2019-XX-XX"
"MN871969","3747","1908kTw","serum sample","Homo sapiens","Chikungunya virus","ECSA","Myanmar","Myanmar","MMR","2019","2019-XX-XX"
"MN871968","3747","1908cTw","serum sample","Homo sapiens","Chikungunya virus","ECSA","Myanmar","Myanmar","MMR","2019","2019-XX-XX"
"MN871967","3747","1908bTw","serum sample","Homo sapiens","Chikungunya virus","ECSA","Myanmar","Myanmar","MMR","2019","2019-XX-XX"
"MN871966","3747","1908aTw","serum sample","Homo sapiens","Chikungunya virus","ECSA","Myanmar","Myanmar","MMR","2019","2019-XX-XX"
"MN871965","3747","1907dTw","serum sample","Homo sapiens","Chikungunya virus","ECSA","Myanmar","Myanmar","MMR","2019","2019-XX-XX"
"MN871964","3747","1907bTw","serum sample","Homo sapiens","Chikungunya virus","ECSA","Myanmar","Myanmar","MMR","2019","2019-XX-XX"
"MN871963","3747","235NP1909c","serum sample","Homo sapiens","Chikungunya virus","ECSA","Taiwan","Taiwan","TWN","2019","2019-XX-XX"
"MN871962","3747","235NP1909d","serum sample","Homo sapiens","Chikungunya virus","ECSA","Taiwan","Taiwan","TWN","2019","2019-XX-XX"
"MN871961","3747","108TP1909a","serum sample","Homo sapiens","Chikungunya virus","ECSA","Taiwan","Taiwan","TWN","2019","2019-XX-XX"
"MN871960","3747","235NP1909b","serum sample","Homo sapiens","Chikungunya virus","ECSA","Taiwan","Taiwan","TWN","2019","2019-XX-XX"
"MN871959","3747","235NP1908b","serum sample","Homo sapiens","Chikungunya virus","ECSA","Taiwan","Taiwan","TWN","2019","2019-XX-XX"
"MN871958","3747","235NP1909a","serum sample","Homo sapiens","Chikungunya virus","ECSA","Taiwan","Taiwan","TWN","2019","2019-XX-XX"
"MN871957","3747","235NP1908a","serum sample","Homo sapiens","Chikungunya virus","ECSA","Taiwan","Taiwan","TWN","2019","2019-XX-XX"
"MN871956","3747","236NP1907a","serum sample","Homo sapiens","Chikungunya virus","ECSA","Taiwan","Taiwan","TWN","2019","2019-XX-XX"
"MN428501","1217","NA","human plasma","Homo sapiens","Chikungunya virus","ECSA","Pakistan","Pakistan","PAK","NA",NA
"MN428500","1217","NA","human plasma","Homo sapiens","Chikungunya virus","ECSA","Pakistan","Pakistan","PAK","NA",NA
"MN428499","1217","NA","human plasma","Homo sapiens","Chikungunya virus","ECSA","Pakistan","Pakistan","PAK","NA",NA
"MN428498","1217","NA","human plasma","Homo sapiens","Chikungunya virus","ECSA","Pakistan","Pakistan","PAK","NA",NA
"MN428497","1217","NA","human plasma","Homo sapiens","Chikungunya virus","ECSA","Pakistan","Pakistan","PAK","NA",NA
"MN428496","1217","NA","human plasma","Homo sapiens","Chikungunya virus","ECSA","Pakistan","Pakistan","PAK","NA",NA
"MN428495","1217","NA","human plasma","Homo sapiens","Chikungunya virus","ECSA","Pakistan","Pakistan","PAK","NA",NA
"MN428494","1217","NA","human plasma","Homo sapiens","Chikungunya virus","ECSA","Pakistan","Pakistan","PAK","NA",NA
"MN428493","1217","NA","human plasma","Homo sapiens","Chikungunya virus","ECSA","Pakistan","Pakistan","PAK","NA",NA
"MN428492","1217","NA","human plasma","Homo sapiens","Chikungunya virus","ECSA","Pakistan","Pakistan","PAK","NA",NA
"MN428491","1217","NA","human plasma","Homo sapiens","Chikungunya virus","ECSA","Pakistan","Pakistan","PAK","NA",NA
"MN428490","1217","NA","human plasma","Homo sapiens","Chikungunya virus","ECSA","Pakistan","Pakistan","PAK","NA",NA
"MN428489","1217","NA","human plasma","Homo sapiens","Chikungunya virus","ECSA","Pakistan","Pakistan","PAK","NA",NA
"MN428488","1217","NA","human plasma","Homo sapiens","Chikungunya virus","ECSA","Pakistan","Pakistan","PAK","NA",NA
"MN428487","1217","NA","human plasma","Homo sapiens","Chikungunya virus","ECSA","Pakistan","Pakistan","PAK","NA",NA
"MN428486","1217","NA","human plasma","Homo sapiens","Chikungunya virus","ECSA","Pakistan","Pakistan","PAK","NA",NA
"MN428485","1217","NA","human plasma","Homo sapiens","Chikungunya virus","ECSA","Pakistan","Pakistan","PAK","NA",NA
"MN428484","1217","NA","human plasma","Homo sapiens","Chikungunya virus","ECSA","Pakistan","Pakistan","PAK","NA",NA
"MN428483","1217","NA","human plasma","Homo sapiens","Chikungunya virus","ECSA","Pakistan","Pakistan","PAK","NA",NA
"MN428482","1217","NA","human plasma","Homo sapiens","Chikungunya virus","ECSA","Pakistan","Pakistan","PAK","NA",NA
"MN428481","1217","NA","human plasma","Homo sapiens","Chikungunya virus","ECSA","Pakistan","Pakistan","PAK","NA",NA
"MN428480","1217","NA","human plasma","Homo sapiens","Chikungunya virus","ECSA","Pakistan","Pakistan","PAK","NA",NA
"MN428479","1217","NA","human plasma","Homo sapiens","Chikungunya virus","ECSA","Pakistan","Pakistan","PAK","NA",NA
"MN428478","1217","NA","human plasma","Homo sapiens","Chikungunya virus","ECSA","Pakistan","Pakistan","PAK","NA",NA
"MN428477","1217","NA","human plasma","Homo sapiens","Chikungunya virus","ECSA","Pakistan","Pakistan","PAK","NA",NA
"MN428476","1217","NA","human plasma","Homo sapiens","Chikungunya virus","ECSA","Pakistan","Pakistan","PAK","NA",NA
"MN428475","1217","NA","human plasma","Homo sapiens","Chikungunya virus","ECSA","Pakistan","Pakistan","PAK","NA",NA
"MN428474","1217","NA","human plasma","Homo sapiens","Chikungunya virus","ECSA","Pakistan","Pakistan","PAK","NA",NA
"MN428473","1217","NA","human plasma","Homo sapiens","Chikungunya virus","ECSA","Pakistan","Pakistan","PAK","NA",NA
"MN428472","1217","NA","human plasma","Homo sapiens","Chikungunya virus","ECSA","Pakistan","Pakistan","PAK","NA",NA
"MN428471","1217","NA","human plasma","Homo sapiens","Chikungunya virus","ECSA","Pakistan","Pakistan","PAK","NA",NA
"MN428470","1217","NA","human plasma","Homo sapiens","Chikungunya virus","ECSA","Pakistan","Pakistan","PAK","NA",NA
"MN428469","1242","NA","human plasma","Homo sapiens","Chikungunya virus","ECSA","Pakistan","Pakistan","PAK","NA",NA
"MN047314","1319","NA","plasma sample from patient returning to Italy from Thailand","Homo sapiens","Chikungunya virus","NA","Italy","Italy","ITA","2019","2019-XX-XX"
"MH349097","11783","NA","serum","Homo sapiens","Chikungunya virus","NA","China","China","CHN","30-Apr-2017","2017-04-30"
"MK040571","11654","BK802","NA","Homo sapiens","Chikungunya virus","NA","Thailand","Thailand","THA","21-Aug-2018","2018-08-21"
"MK040570","11660","BK809","NA","Homo sapiens","Chikungunya virus","NA","Thailand","Thailand","THA","24-Aug-2018","2018-08-24"
"MK040569","11664","155-7","NA","Aedes aegypti","Chikungunya virus","NA","Thailand","Thailand","THA","25-Aug-2018","2018-08-25"
"MK045434","1478","BK802","NA","Homo sapiens","Chikungunya virus","NA","Thailand","Thailand","THA","21-Aug-2018","2018-08-21"
"MK045433","2016","BK809","NA","Homo sapiens","Chikungunya virus","NA","Thailand","Thailand","THA","24-Aug-2018","2018-08-24"
"MK045432","2011","155-7","NA","Aedes aegypti","Chikungunya virus","NA","Thailand","Thailand","THA","25-Aug-2018","2018-08-25"
"MK045431","290","BK811","NA","Homo sapiens","Chikungunya virus","NA","Thailand","Thailand","THA","24-Aug-2018","2018-08-24"
"MK045430","866","BK810","NA","Homo sapiens","Chikungunya virus","NA","Thailand","Thailand","THA","24-Aug-2018","2018-08-24"
"MK045429","290","BK852","NA","Homo sapiens","Chikungunya virus","NA","Thailand","Thailand","THA","05-Sep-2018","2018-09-05"
"MK045428","871","BK842","NA","Homo sapiens","Chikungunya virus","NA","Thailand","Thailand","THA","29-Aug-2018","2018-08-29"
"MK045427","489","BK816","NA","Homo sapiens","Chikungunya virus","NA","Thailand","Thailand","THA","24-Aug-2018","2018-08-24"
"MK045426","294","BK834","NA","Homo sapiens","Chikungunya virus","NA","Thailand","Thailand","THA","27-Aug-2018","2018-08-27"
"MK045425","2011","BK818","NA","Homo sapiens","Chikungunya virus","NA","Thailand","Thailand","THA","24-Aug-2018","2018-08-24"
"MK045424","2016","BK814","NA","Homo sapiens","Chikungunya virus","NA","Thailand","Thailand","THA","24-Aug-2018","2018-08-24"
"MK045423","2016","BK808","NA","Homo sapiens","Chikungunya virus","NA","Thailand","Thailand","THA","24-Aug-2018","2018-08-24"
"MN974224","11376","SK2690_19","NA","Homo sapiens","Chikungunya virus","ECSA","Thailand: Yala","Thailand","THA","06-Sep-2019","2019-09-06"
"MN974213","11811","SV190138","NA","Homo sapiens","Chikungunya virus","ECSA","Thailand: Bangkok","Thailand","THA","07-Oct-2019","2019-10-07"
"MN974212","11811","347KF02F003BA1","NA","Homo sapiens","Chikungunya virus","ECSA","Thailand: Kampheang Phet","Thailand","THA","08-Jul-2019","2019-07-08"
"MN974211","11811","SK2597_19","NA","Homo sapiens","Chikungunya virus","ECSA","Thailand: Pattani","Thailand","THA","12-Dec-2018","2018-12-12"
"MN974210","11811","19KDA0889","NA","Homo sapiens","Chikungunya virus","ECSA","Thailand: Kampheang Phet","Thailand","THA","26-Aug-2019","2019-08-26"
"MN974209","11811","D190513","NA","Homo sapiens","Chikungunya virus","ECSA","Thailand: Bangkok","Thailand","THA","07-Oct-2019","2019-10-07"
"MN974208","11811","SK2609_19","NA","Homo sapiens","Chikungunya virus","ECSA","Thailand: Yala","Thailand","THA","12-Feb-2019","2019-02-12"
"MN974207","11811","SK2614_19","NA","Homo sapiens","Chikungunya virus","ECSA","Thailand: Narathiwas","Thailand","THA","12-Mar-2019","2019-03-12"
"MN974206","11811","SK2671_19","NA","Homo sapiens","Chikungunya virus","ECSA","Thailand: Satool","Thailand","THA","30-Aug-2019","2019-08-30"
"MN974205","11811","SV190079","NA","Homo sapiens","Chikungunya virus","ECSA","Thailand: Bangkok","Thailand","THA","24-Jul-2019","2019-07-24"
"MN974204","11811","SV190103","NA","Homo sapiens","Chikungunya virus","ECSA","Thailand: Bangkok","Thailand","THA","15-Aug-2019","2019-08-15"
"MN974203","11811","SV190128","NA","Homo sapiens","Chikungunya virus","ECSA","Thailand: Nonthaburi","Thailand","THA","11-Sep-2019","2019-09-11"
"MN974223","11785","SK2485_18","NA","Homo sapiens","Chikungunya virus","ECSA","Thailand: Pattalung","Thailand","THA","21-Jul-2018","2018-07-21"
"MN974222","11785","SK2484_18","NA","Homo sapiens","Chikungunya virus","ECSA","Thailand: Yala","Thailand","THA","21-Jul-2018","2018-07-21"
"MN974221","11785","SK2481_18","NA","Homo sapiens","Chikungunya virus","ECSA","Thailand: Pattani","Thailand","THA","19-Jul-2018","2018-07-19"
"MN974220","11785","SK2479_18","NA","Homo sapiens","Chikungunya virus","ECSA","Thailand: Satool","Thailand","THA","19-Jul-2018","2018-07-19"
"MN974219","11785","SK2474_18","NA","Homo sapiens","Chikungunya virus","ECSA","Thailand: Narathiwas","Thailand","THA","13-Jul-2018","2018-07-13"
"MN974218","11785","SK2466_18","NA","Homo sapiens","Chikungunya virus","ECSA","Thailand: Narathiwas","Thailand","THA","02-Jul-2018","2018-07-02"
"MN974217","11785","SK2464_18","NA","Homo sapiens","Chikungunya virus","ECSA","Thailand: Yala","Thailand","THA","02-Jul-2018","2018-07-02"
"MN974216","11785","SK2461_18","NA","Homo sapiens","Chikungunya virus","ECSA","Thailand: Songkhla","Thailand","THA","30-Jun-2018","2018-06-30"
"MN974215","11785","SK2448_18","NA","Homo sapiens","Chikungunya virus","ECSA","Thailand: Pattalung","Thailand","THA","23-Jun-2018","2018-06-23"
"MN974214","11785","SK2445_18","NA","Homo sapiens","Chikungunya virus","ECSA","Thailand: Satool","Thailand","THA","20-Jun-2018","2018-06-20"
"MK518395","11800","NA","NA","Aedes aegypti","Chikungunya virus","ECSA","Brazil","Brazil","BRA","16-May-2017","2017-05-16"
"EU403052","1253","NA","NA","Aedes albopictus","Chikungunya virus","NA","Gabon","Gabon","GAB","Jul-2007","2007-07-XX"
"EF538889","306","Del-10","serum","NA","Chikungunya virus","NA","India","India","IND","NA",NA
"EF538888","318","Del-9","serum","NA","Chikungunya virus","NA","India","India","IND","NA",NA
"EF538884","300","Del-5","serum","NA","Chikungunya virus","NA","India","India","IND","NA",NA
"EU272130","982","ITA5_JEM","NA","NA","Chikungunya virus","NA","Italy","Italy","ITA","2007","2007-XX-XX"
"EU190884","1017","ITA4_MRA","infected patient","NA","Chikungunya virus","NA","Italy","Italy","ITA","NA",NA
"EU190881","1016","ITA3_CGO","infected patient","NA","Chikungunya virus","NA","Italy","Italy","ITA","NA",NA
"EU190879","982","ITA2_BMI","infected patient","NA","Chikungunya virus","NA","Italy","Italy","ITA","NA",NA
"EU288003","935","PATHANAMTHITTA-5","NA","NA","Chikungunya virus","ECSA","India: Taluk Hospital, Adoor","India","IND","NA",NA
"EU288002","912","PATHANAMTHITTA-4","NA","NA","Chikungunya virus","ECSA","India: Taluk Hospital, Adoor","India","IND","NA",NA
"EU288001","931","PATHANAMTHITTA-3","NA","NA","Chikungunya virus","ECSA","India: Taluk Hospital, Adoor","India","IND","NA",NA
"EU288000","939","PATHANAMTHITTA-2","NA","NA","Chikungunya virus","ECSA","India: Taluk Hospital, Adoor","India","IND","NA",NA
"EU287999","929","PATHANAMTHITTA-1","NA","NA","Chikungunya virus","ECSA","India: Taluk Hospital, Adoor","India","IND","NA",NA
"EU287998","951","ALP-9","NA","NA","Chikungunya virus","NA","India: Taluk Hospital, Cherthala","India","IND","NA",NA
"EU287997","934","ALP-8","NA","NA","Chikungunya virus","NA","India: Medical College, Alappuzha","India","IND","NA",NA
